entity_code,park_code,queue_times_id,queue_times_name,touringplans_name,match_score
EP123,ep,123,The Twilight Zone Tower of Terror™,,0.0
EP130,ep,117,Toy Story Mania!,Festival of Holidays: Helga in Germany,0.54
EP156,ep,12425,Meet Edna Mode at the Edna Mode Experience,Meet Anna and Elsa at Royal Sommerhus,0.51
EP177,ep,5477,Alien Swirling Saucers,Epcot Living Statues,0.61
EP185,ep,1176,Beauty and the Beast – Live on Stage,Beauty and the Beast Sing-Along,0.71
EP20,ep,119,Rock 'n' Roller Coaster Starring Aerosmith,Gran Fiesta Tour Starring The Three Caballeros,0.54
EP213,ep,12430,Meet Ariel at Walt Disney Presents,Meet a Favorite Pal at Disney and Pixar Short Film Festival,0.56
EP224,ep,10902,Millennium Falcon: Smugglers Run Single Rider,Soarin' Around the World Single Rider,0.52
EP224,ep,14531,Star Wars: Rise of the Resistance Single Rider,Soarin' Around the World Single Rider,0.59
EP224,ep,10901,Rock 'n' Roller Coaster Starring Aerosmith Single Rider,Soarin' Around the World Single Rider,0.52
EP227,ep,6361,Mickey & Minnie's Runaway Railway,Get Lightning Lane Return Time for Meet Beloved Disney Pals at Mickey & Friends,0.52
EP228,ep,120,Star Tours – The Adventures Continue,Remy's Ratatouille Adventure Single Rider,0.56
EP24,ep,14859,The Little Mermaid – A Musical Adventure – New!,The American Adventure,0.52
EP37,ep,5145,Walt Disney Presents,Meet Disney Pals at Epcot,0.58
EP37,ep,6704,Meet Disney Stars at Red Carpet Dreams,Meet Disney Pals at Epcot,0.67
EP39,ep,5476,Slinky Dog Dash,The Living Seas,0.54
EP6368,ep,6368,Millennium Falcon: Smugglers Run,,0.0
EP6369,ep,6369,Star Wars: Rise of the Resistance,,0.0
EP6702,ep,6702,Indiana Jones™ Epic Stunt Spectacular!,,0.0
EP6703,ep,6703,Meet Olaf at Celebrity Spotlight,,0.0
EP7333,ep,7333,Vacation Fun - An Original Animated Short with Mickey & Minnie,,0.0
HS104,hs,111,DINOSAUR,Alien Swirling Saucers,0.57
HS10920,hs,10920,Finding Nemo: The Big Blue... and Beyond!,,0.0
HS10921,hs,10921,Feathered Friends in Flight!,,0.0
HS110,hs,110,Expedition Everest - Legend of the Forbidden Mountain,,0.0
HS112,hs,112,Kali River Rapids,,0.0
HS113,hs,113,Kilimanjaro Safaris,,0.0
HS127,hs,13807,Affection Section,Vacation Fun - An Original Animated Short with Mickey & Minnie,0.55
HS128,hs,13811,Discovery Island Trails,The Disney Society Orchestra and Friends,0.51
HS13808,hs,13808,Wilderness Explorers,,0.0
HS13809,hs,13809,Dino-Sue,,0.0
HS13812,hs,13812,The Oasis Exhibits,,0.0
HS14943,hs,14943,Zootopia: Better Zoogether! - NEW!,,0.0
HS150,hs,14533,Expedition Everest - Legend of the Forbidden Mountain Single Rider,Star Wars: Rise of the Resistance Single Rider,0.52
HS17,hs,13751,Tree of Life,Streets of America,0.6
HS4438,hs,4438,Na'vi River Journey,,0.0
HS4439,hs,4439,Avatar Flight of Passage,,0.0
HS46,hs,13806,Conservation Station,Tinseltown Talent Show,0.52
HS63,hs,12451,Meet Moana at Character Landing,Character Greetings Around Hollywood Studios,0.52
HS651,hs,651,Gorilla Falls Exploration Trail,,0.0
HS655,hs,655,Wildlife Express Train,,0.0
HS657,hs,657,Festival of the Lion King,,0.0
HS6680,hs,6680,The Animation Experience at Conservation Station,,0.0
HS95,hs,116,Meet Favorite Disney Pals at Adventurers Outpost,Meet Disney Stars at Red Carpet Dreams,0.51
IA08,ia,5990,E.T. Adventure™,Jurassic Park River Adventure,0.67
IA12,ia,14950,Grave of Flesh,Pteranodon Flyers,0.52
IA12107,ia,12107,Illumination's Villain-Con Minion Blast,,0.0
IA12186,ia,12186,Illumination Theater,,0.0
IA14937,ia,14937,Terrifier,,0.0
IA14938,ia,14938,WWE Presents: The Horrors of the Wyatt Sicks,,0.0
IA14939,ia,14939,Dolls: Let’s Play Dead,,0.0
IA14945,ia,14945,JASON UN1V3RSE,,0.0
IA14947,ia,14947,Fallout,,0.0
IA14948,ia,14948,El Artista: A Spanish Haunting,,0.0
IA14949,ia,14949,Gálkn: Monsters of the North,,0.0
IA14951,ia,14951,Hatchet and Chains: Demon Bounty Hunters,,0.0
IA16,ia,6014,Harry Potter and the Escape from Gringotts™,Harry Potter and the Forbidden Journey,0.52
IA21,ia,13100,Ollivanders™ Experience in Diagon Alley™,Ollivanders Experience in Hogsmeade,0.75
IA49,ia,13605,Trolls Trollercoaster,Triceratops Encounter,0.52
IA52,ia,6005,The Simpsons Ride™,The Incredible Hulk Coaster Single Rider Line,0.52
IA53,ia,14517,MEN IN BLACK™ Alien Attack!™ Single Rider,Doctor Doom's Fearfall Single Rider Line,0.53
IA55,ia,13849,Hogwarts™ Express - First Train,Hogwarts Express - Hogsmeade Station,0.72
IA55,ia,6016,Hogwarts™ Express - King's Cross Station,Hogwarts Express - Hogsmeade Station,0.77
IA5984,ia,5984,Despicable Me Minion Mayhem™,,0.0
IA5993,ia,5993,Hollywood Rip Ride Rockit™,,0.0
IA5995,ia,5995,Kang & Kodos' Twirl 'n' Hurl,,0.0
IA5996,ia,5996,MEN IN BLACK™ Alien Attack!™,,0.0
IA6000,ia,6000,Revenge of the Mummy™,,0.0
IA6006,ia,6006,TRANSFORMERS™: The Ride-3D,,0.0
IA6018,ia,6018,Race Through New York Starring Jimmy Fallon™,,0.0
IA6038,ia,6038,Fast & Furious - Supercharged™,,0.0
IA62,ia,13110,Revenge of the Mummy™ Single Rider,Skull Island: Reign of Kong Single Rider,0.71
IA64,ia,14946,Five Nights At Freddy’s,The Nighttime Lights at Hogwarts Castle,0.55
MK01,mk,138,Space Mountain,Space Mountain,1.0
MK02,mk,131,Buzz Lightyear's Space Ranger Spin,Buzz Lightyear's Space Ranger Spin,1.0
MK03,mk,130,Big Thunder Mountain Railroad,Big Thunder Mountain Railroad,1.0
MK05,mk,136,Peter Pan's Flight,Peter Pan's Flight,1.0
MK06,mk,142,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,1.0
MK103,mk,13763,Cinderella Castle,Cinderella Castle,1.0
MK13,mk,134,Jungle Cruise,Jungle Cruise,1.0
MK133,mk,13764,Casey Jr. Splash 'N' Soak Station,Casey Jr. Splash 'N' Soak Station,1.0
MK139,mk,145,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,0.98
MK140,mk,128,Enchanted Tales with Belle,Enchanted Tales with Belle,1.0
MK141,mk,129,Seven Dwarfs Mine Train,Seven Dwarfs Mine Train,1.0
MK142,mk,127,Under the Sea - Journey of The Little Mermaid,Under the Sea ~ Journey of the Little Mermaid,0.97
MK15,mk,141,The Magic Carpets of Aladdin,The Magic Carpets of Aladdin,1.0
MK154,mk,144,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,0.99
MK16,mk,137,Pirates of the Caribbean,Pirates of the Caribbean,1.0
MK161,mk,1184,A Pirate's Adventure ~ Treasures of the Seven Seas,A Pirate's Adventure ~ Treasures of the Seven Seas,1.0
MK17,mk,355,Swiss Family Treehouse,Swiss Family Treehouse,1.0
MK177,mk,6700,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,1.0
