district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Little Rock School District Holidays 2025-2026 PDF,Arkansas,https://schoolcalendarinfo.com/little-rock-school-district/,little-rock-school-district,2026-03-20,2026-03-27,2025-12-22,2026-01-06,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Littleton Public Schools 2025-2026 in PDF,Colorado,https://schoolcalendarinfo.com/littleton-public-schools/,littleton-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Livingston Parish Schools 2025-2026 in PDF,Louisiana,https://schoolcalendarinfo.com/livingston-parish-schools/,livingston-parish-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-06,2026-05-22,2025-08-08,2025-08-08,2026-05-22,2025-2026,2026-03-08
Lodi Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/lodi-unified-school-district/,lodi-unified-school-district,2026-03-16,2026-03-27,2025-12-22,2026-01-02,2026-05-29,2025-07-29,2025-07-29,2026-05-29,2025-2026,2026-03-08
Long Beach Unified School District 2025-2026,California,https://schoolcalendarinfo.com/long-beach-unified-school-district/,long-beach-unified-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-11,2025-08-26,2025-08-26,2026-06-11,2025-2026,2026-03-08
Loogootee Community Schools 2025-2026,Indiana,https://schoolcalendarinfo.com/loogootee-community-schools/,loogootee-community-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
Lorain City Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/lorain-city-schools/,lorain-city-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-28,2025-08-21,2025-08-21,2026-05-28,2025-2026,2026-03-08
Lowell Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/lowell-public-schools/,lowell-public-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-16,2025-08-26,2025-08-26,2026-06-16,2025-2026,2026-03-08
Lower Merion School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/lower-merion-school-district/,lower-merion-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-17,2025-09-02,2025-09-02,2026-06-17,2025-2026,2026-03-08
Lowndes County Schools 2025-2026 in PDF | Georgia,Georgia,https://schoolcalendarinfo.com/lowndes-county-schools/,lowndes-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-06,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Lumpkin County School System 2025-2026,Georgia,https://schoolcalendarinfo.com/lumpkin-county-school-system/,lumpkin-county-school-system,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Lynchburg City Schools 2025-2026 in PDF | Holidays,Virginia,https://schoolcalendarinfo.com/lynchburg-city-schools/,lynchburg-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-03,2025-08-19,2025-08-19,2026-06-03,2025-2026,2026-03-08
