district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Clark County School District Holidays 2025-2026 PDF,Nevada,https://schoolcalendarinfo.com/clark-county-school-district/,clark-county-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Clay County School District Holidays 2025-2026 PDF,Florida,https://schoolcalendarinfo.com/clay-county-school-district/,clay-county-school-district,2026-03-16,2026-03-23,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Clayton County Public Schools Holidays 2025-2026,Georgia,https://schoolcalendarinfo.com/clayton-county-public-schools/,clayton-county-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Cleveland County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/cleveland-county-schools/,cleveland-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-27,2025-08-13,2025-08-13,2026-05-27,2025-2026,2026-03-08
Clover School District 2026-2027 in PDF,,https://schoolcalendarinfo.com/clover-school-district/,clover-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-28,2025-08-04,2025-08-04,2026-05-28,2025-2026,2026-03-08
Clovis Unified School District 2026-2027 in PDF,California,https://schoolcalendarinfo.com/clovis-unified-school-district/,clovis-unified-school-district,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-06-05,2025-08-18,2025-08-18,2026-06-05,2025-2026,2026-03-08
Cobb County School District Holidays 2025-2026,Georgia,https://schoolcalendarinfo.com/cobb-county-school-district/,cobb-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Cocke County Schools 2025-2026 (Tennessee),Tennessee,https://schoolcalendarinfo.com/cocke-county-schools/,cocke-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-29,2025-08-01,2025-08-01,2026-05-29,2025-2026,2026-03-08
Collier County Public Schools 2025-2026(Florida),Florida,https://schoolcalendarinfo.com/collier-county-public-schools/,collier-county-public-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
Colonial School District 2025-2026 (Pennsylvania),Pennsylvania,https://schoolcalendarinfo.com/colonial-school-district-pennsylvania/,colonial-school-district-pennsylvania,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-12,2025-08-25,2025-08-25,2026-06-12,2025-2026,2026-03-08
Colorado Springs School District 11 2025-2026,Colorado,https://schoolcalendarinfo.com/colorado-springs-school-district-11/,colorado-springs-school-district-11,2026-03-23,2026-03-27,2025-12-22,2026-01-06,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Colquitt County Schools 2025-2026 (Georgia),Georgia,https://schoolcalendarinfo.com/colquitt-county-schools/,colquitt-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Columbia County School District 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/columbia-county-school-district/,columbia-county-school-district,,,2025-12-22,2026-01-02,2026-05-20,2025-08-04,2025-08-04,2026-05-20,2025-2026,2026-03-08
Columbia Public Schools 2025-2026 in PDF,Missouri,https://schoolcalendarinfo.com/columbia-public-schools/,columbia-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-21,2025-08-19,2025-08-19,2026-05-21,2025-2026,2026-03-08
Columbus City Schools Holidays 2025-2026 PDF,Ohio,https://schoolcalendarinfo.com/columbus-city-schools/,columbus-city-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-28,2025-08-25,2025-08-25,2026-05-28,2025-2026,2026-03-08
Comal Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/comal-independent-school-district-calendar-2023-2024-in-pdf/,comal-independent-school-district-calendar-2023-2024-in-pdf,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-21,2025-08-19,2025-08-19,2026-05-21,2025-2026,2026-03-08
Conroe Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/conroe-independent-school-district/,conroe-independent-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Conway Public Schools 2025-2026 (Arkansas),Arkansas,https://schoolcalendarinfo.com/conway-public-schools/,conway-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Coweta County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/coweta-county-schools/,coweta-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Cranford Public School District 2025-2026 (New Jersey),New Jersey,https://schoolcalendarinfo.com/cranford-public-school-district/,cranford-public-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-23,2025-09-04,2025-09-04,2026-06-23,2025-2026,2026-03-08
Cranston Public Schools 2025-2026 in PDF,Rhode Island,https://schoolcalendarinfo.com/cranston-public-schools/,cranston-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-16,2025-08-28,2025-08-28,2026-06-16,2025-2026,2026-03-08
Craven County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/craven-county-schools/,craven-county-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-07,2026-05-21,2025-08-25,2025-08-25,2026-05-21,2025-2026,2026-03-08
Cumberland County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/cumberland-county-schools/,cumberland-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-25,2025-08-25,2026-05-22,2025-2026,2026-03-08
Cupertino Union School District 2025-2026,California,https://schoolcalendarinfo.com/cupertino-union-school-district/,cupertino-union-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-02,2026-06-05,2025-08-14,2025-08-14,2026-06-05,2025-2026,2026-03-08
Cypress-Fairbanks Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/cypress-fairbanks-independent-school-district/,cypress-fairbanks-independent-school-district,2026-03-09,2026-03-13,2025-12-19,2026-01-05,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Dallas Independent School District Holidays 2025-2026,Texas,https://schoolcalendarinfo.com/dallas-independent-school-district/,dallas-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Danbury Public Schools Holidays 2025-2026 in PDF,Connecticut,https://schoolcalendarinfo.com/danbury-public-schools/,danbury-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-18,2025-08-26,2025-08-26,2026-06-18,2025-2026,2026-03-08
Dare County Schools 2025-2026 in PDF &amp; Holidays,North Carolina,https://schoolcalendarinfo.com/dare-county-schools/,dare-county-schools,2026-04-03,2026-04-13,2025-12-22,2026-01-05,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Davenport Community School District 2025-2026,Iowa,https://schoolcalendarinfo.com/davenport-community-school-district/,davenport-community-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Davidson County Schools 2025-2026 (North Carolina),North Carolina,https://schoolcalendarinfo.com/davidson-county-schools-calendar-2022-2023/,davidson-county-schools-calendar-2022-2023,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Davie County Schools 2025-2026 PDF | Academic,North Carolina,https://schoolcalendarinfo.com/davie-county-schools/,davie-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Davis School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/davis-school-district/,davis-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-22,2025-08-18,2025-08-18,2026-05-22,2025-2026,2026-03-08
Davison Community Schools 2025-2026 (Michigan),Michigan,https://schoolcalendarinfo.com/davison-community-schools/,davison-community-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-18,2025-08-18,2025-08-18,2026-06-18,2025-2026,2026-03-08
Dayton Public Schools 2025-2026 (Ohio),Ohio,https://schoolcalendarinfo.com/dayton-public-schools/,dayton-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
DeKalb County School District Holidays 2025-2026 PDF,Georgia,https://schoolcalendarinfo.com/dekalb-county-school-district/,dekalb-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-04,2025-08-04,2026-05-28,2025-2026,2026-03-08
DeSoto County Schools 2025-2026 in PDF,Mississippi,https://schoolcalendarinfo.com/desoto-county-schools/,desoto-county-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-22,2025-07-31,2025-07-31,2026-05-22,2025-2026,2026-03-08
Deer Creek Schools 2025-2026 (Oklahoma),Oklahoma,https://schoolcalendarinfo.com/deer-creek-schools/,deer-creek-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Deer Valley School District 2025-2026 | DVUSD Holidays,,https://schoolcalendarinfo.com/deer-valley-school-district/,deer-valley-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-07-31,2025-07-31,2026-05-21,2025-2026,2026-03-08
Delaware City Schools 2025-2026 PDF | Ohio,Delaware,https://schoolcalendarinfo.com/delaware-city-schools/,delaware-city-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-05-27,2025-08-13,2025-08-13,2026-05-27,2025-2026,2026-03-08
Denton Independent School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/denton-independent-school-district/,denton-independent-school-district,2026-03-09,2026-03-16,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Denver Public Schools Holidays 2025-2026 PDF,,https://schoolcalendarinfo.com/denver-public-schools/,denver-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Des Moines Public Schools 2025-2026 in PDF,Iowa,https://schoolcalendarinfo.com/des-moines-public-schools/,des-moines-public-schools,2026-03-13,2026-03-23,2025-12-22,2026-01-02,2026-06-04,2025-08-25,2025-08-25,2026-06-04,2025-2026,2026-03-08
Desert Sands Unified School District 2025-2026,California,https://schoolcalendarinfo.com/desert-sands-unified-school-district/,desert-sands-unified-school-district,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-05,2025-08-20,2025-08-20,2026-06-05,2025-2026,2026-03-08
Detroit Public Schools 2025-2026 | DPCSD Holidays,Michigan,https://schoolcalendarinfo.com/detroit-public-schools/,detroit-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Dorchester School District 2 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/dorchester-school-district-2/,dorchester-school-district-2,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-05-28,2025-08-06,2025-08-06,2026-05-28,2025-2026,2026-03-08
Dothan City Schools 2025-2026 in PDF | Holiday Dates,Alabama,https://schoolcalendarinfo.com/dothan-city-schools/,dothan-city-schools,,,2025-12-22,2026-01-05,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Douglas County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/douglas-county-schools/,douglas-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-07-31,2025-07-31,2026-05-20,2025-2026,2026-03-08
Downingtown Area School District 2025-2026,Pennsylvania,https://schoolcalendarinfo.com/downingtown-area-school-district/,downingtown-area-school-district,2026-04-02,2026-04-06,2025-12-24,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Download Livonia Public Schools 2025-2026 PDF,Michigan,https://schoolcalendarinfo.com/livonia-public-schools/,livonia-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-04,2025-08-25,2025-08-25,2026-06-04,2025-2026,2026-03-08
Dublin City Schools Holidays 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/dublin-city-schools/,dublin-city-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-29,2025-08-19,2025-08-19,2026-05-29,2025-2026,2026-03-08
Duplin County Schools 2025-2026 (North Carolina),North Carolina,https://schoolcalendarinfo.com/duplin-county-schools/,duplin-county-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-06,2026-05-22,2025-08-25,2025-08-25,2026-05-22,2025-2026,2026-03-08
Eagle County Schools 2025-2026 in PDF | Holidays,,https://schoolcalendarinfo.com/eagle-county-schools/,eagle-county-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-05,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
East Allen County Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/east-allen-county-schools/,east-allen-county-schools,2026-03-27,2026-04-03,2025-12-19,2026-01-06,2026-05-20,2025-08-06,2025-08-06,2026-05-20,2025-2026,2026-03-08
East Brunswick Public Schools 2025-2026 (New Jersey),New Jersey,https://schoolcalendarinfo.com/east-brunswick-public-schools/,east-brunswick-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-25,2025-09-04,2025-09-04,2026-06-25,2025-2026,2026-03-08
East Penn School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/east-penn-school-district/,east-penn-school-district,2026-04-02,2026-04-06,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Eau Claire School District 2025-2026 in PDF,Wisconsin,https://schoolcalendarinfo.com/eau-claire-school-district/,eau-claire-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-04,2025-09-02,2025-09-02,2026-06-04,2025-2026,2026-03-08
Ector County Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/ector-county-independent-school-district/,ector-county-independent-school-district,2026-03-09,2026-03-13,2025-12-19,2026-01-05,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Eden Prairie Schools 2025-2026 PDF | Holiday Dates,Minnesota,https://schoolcalendarinfo.com/eden-prairie-schools/,eden-prairie-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-02,2026-06-09,2025-09-02,2025-09-02,2026-06-09,2025-2026,2026-03-08
Edina Public Schools 2025-2026 PDF | Academic,Minnesota,https://schoolcalendarinfo.com/edina-public-schools/,edina-public-schools,,,2025-12-22,2026-01-02,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Edmond Public Schools 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/edmond-public-schools/,edmond-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-20,2025-08-14,2025-08-14,2026-05-20,2025-2026,2026-03-08
Effingham County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/effingham-county-schools/,effingham-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-20,2025-09-02,2025-09-02,2026-05-20,2025-2026,2026-03-08
El Paso Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/el-paso-independent-school-district/,el-paso-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-06-05,2025-08-04,2025-08-04,2026-06-05,2025-2026,2026-03-08
Elizabeth Public Schools 2025-2026 | Academic Holidays,New Jersey,https://schoolcalendarinfo.com/elizabeth-public-schools/,elizabeth-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-22,2025-09-04,2025-09-04,2026-06-22,2025-2026,2026-03-08
Elizabethton City Schools 2025-2026 (Tennessee),Tennessee,https://schoolcalendarinfo.com/elizabethton-city-schools/,elizabethton-city-schools,2026-03-20,2026-03-27,2025-12-22,2026-01-06,2026-05-27,2025-08-11,2025-08-11,2026-05-27,2025-2026,2026-03-08
Elkhart Community Schools 2025-2026 &amp; Holidays,Indiana,https://schoolcalendarinfo.com/elkhart-community-schools/,elkhart-community-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-14,2025-08-14,2026-05-29,2025-2026,2026-03-08
Elmore County Schools 2025-2026 in PDF | Holidays,Alabama,https://schoolcalendarinfo.com/elmore-county-schools/,elmore-county-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Enfield Public Schools 2025-2026 in PDF,Connecticut,https://schoolcalendarinfo.com/enfield-public-schools/,enfield-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-02,2026-06-11,2025-08-28,2025-08-28,2026-06-11,2025-2026,2026-03-08
Enid Public Schools 2025-2026,,https://schoolcalendarinfo.com/enid-public-schools/,enid-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-06,2026-05-14,2025-08-13,2025-08-13,2026-05-14,2025-2026,2026-03-08
Escambia County School District 2025-2026,Florida,https://schoolcalendarinfo.com/escambia-county-school-district/,escambia-county-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Etiwanda School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/etiwanda-school-district/,etiwanda-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
Eureka Union School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/eureka-union-school-district/,eureka-union-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-04,2025-08-13,2025-08-13,2026-06-04,2025-2026,2026-03-08
Evansville Vanderburgh School Corporation 2025-2026,Indiana,https://schoolcalendarinfo.com/evansville-vanderburgh-school-corporation/,evansville-vanderburgh-school-corporation,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-22,,,2026-05-22,2025-2026,2026-03-08
Everett School District 2025-2026 in PDF | Holidays,Washington,https://schoolcalendarinfo.com/everett-school-district/,everett-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-15,2025-08-27,2025-08-27,2026-06-15,2025-2026,2026-03-08
Evergreen School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/evergreen-school-district/,evergreen-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-11,2025-08-18,2025-08-18,2026-06-11,2025-2026,2026-03-08
Fairfax County Public Schools Holidays 2025-2026,,https://schoolcalendarinfo.com/fairfax-county-public-schools/,fairfax-county-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-17,2025-08-18,2025-08-18,2026-06-17,2025-2026,2026-03-08
Fairfield Public Schools 2025-2026 (Connecticut),Connecticut,https://schoolcalendarinfo.com/fairfield-public-schools/,fairfield-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-02,2026-06-11,2025-08-26,2025-08-26,2026-06-11,2025-2026,2026-03-08
Fauquier County Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/fauquier-county-public-schools/,fauquier-county-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Fayette County Public Schools 2025-2026 in PDF,Kentucky,https://schoolcalendarinfo.com/fayette-county-public-schools/,fayette-county-public-schools,2026-04-06,2026-04-13,2025-12-22,2026-01-05,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Fayetteville Public Schools 2025-2026 in PDF,Arkansas,https://schoolcalendarinfo.com/fayetteville-public-schools/,fayetteville-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Fayetteville-Manlius School District 2025-2026 in PDF,New York,https://schoolcalendarinfo.com/fayetteville-manlius-school-district/,fayetteville-manlius-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-25,2025-09-02,2025-09-02,2026-06-25,2025-2026,2026-03-08
Flagler County Schools 2025-2026 in PDF | Holidays,,https://schoolcalendarinfo.com/flagler-county-schools/,flagler-county-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
Floyd County Schools 2025-2026 (Georgia),Georgia,https://schoolcalendarinfo.com/floyd-county-schools/,floyd-county-schools,2026-04-06,2026-04-13,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Fontana Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/fontana-unified-school-district/,fontana-unified-school-district,,,,,2026-05-28,2025-08-06,2025-08-06,2026-05-28,2025-2026,2026-03-08
Forsyth County Schools 2025-2026 (Georgia),Georgia,https://schoolcalendarinfo.com/forsyth-county-schools/,forsyth-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Fort Bend Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/fort-bend-independent-school-district/,fort-bend-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-07,2026-05-28,2025-08-12,2025-08-12,2026-05-28,2025-2026,2026-03-08
Fort Mill School District 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/fort-mill-school-district/,fort-mill-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-04,2025-08-04,2026-05-29,2025-2026,2026-03-08
Fort Smith Public Schools 2025-2026 (FSPS),Arkansas,https://schoolcalendarinfo.com/fort-smith-public-schools/,fort-smith-public-schools,2026-03-20,2026-03-27,2025-12-22,2026-01-06,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Fort Wayne Community Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/fort-wayne-community-schools/,fort-wayne-community-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-05-20,2025-08-07,2025-08-07,2026-05-20,2025-2026,2026-03-08
Fort Worth Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/fort-worth-independent-school-district/,fort-worth-independent-school-district,2026-03-16,2026-03-23,2025-12-19,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Framingham Public Schools 2025-2026 (Massachusetts),Massachusetts,https://schoolcalendarinfo.com/framingham-public-schools/,framingham-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,,2025-08-27,2025-08-27,,2025-2026,2026-03-08
Franklin Township School 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/franklin-township-school/,franklin-township-school,,,2025-12-24,2026-01-02,2026-06-26,2025-09-04,2025-09-04,2026-06-26,2025-2026,2026-03-08
Fremont Unified School District 2025-2026 PDF,California,https://schoolcalendarinfo.com/fremont-unified-school-district/,fremont-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-06-02,2025-08-12,2025-08-12,2026-06-02,2025-2026,2026-03-08
Fresno Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/fresno-unified-school-district/,fresno-unified-school-district,2026-03-30,2026-04-06,2025-12-22,2026-01-09,2026-06-11,2025-08-18,2025-08-18,2026-06-11,2025-2026,2026-03-08
Frisco Independent School District 2025-2026 PDF,Texas,https://schoolcalendarinfo.com/frisco-independent-school-district/,frisco-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Fulton County Schools Holidays 2025-2026 PDF,Georgia,https://schoolcalendarinfo.com/fulton-county-schools/,fulton-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-21,2025-08-04,2025-08-04,2026-05-21,2025-2026,2026-03-08
GCISD School District 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/gcisd-school-district/,gcisd-school-district,2026-03-13,2026-03-20,2025-12-19,2026-01-06,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Garland Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/garland-independent-school-district/,garland-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Gaston County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/gaston-county-schools/,gaston-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-13,2025-08-13,2026-05-20,2025-2026,2026-03-08
Gilbert Public Schools 2025-2026 in PDF,Arizona,https://schoolcalendarinfo.com/gilbert-public-schools/,gilbert-public-schools,2026-03-09,2026-03-20,2025-12-22,2026-01-02,2026-05-21,2025-07-22,2025-07-22,2026-05-21,2025-2026,2026-03-08
Glastonbury Public Schools 2025-2026 (Connecticut),Connecticut,https://schoolcalendarinfo.com/glastonbury-public-schools/,glastonbury-public-schools,2026-04-03,2026-04-17,2025-12-24,2026-01-02,2026-06-11,2025-08-27,2025-08-27,2026-06-11,2025-2026,2026-03-08
Glenpool Public Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/glenpool-public-schools/,glenpool-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-14,2025-08-14,2026-05-22,2025-2026,2026-03-08
Gordon County Schools 2025-2026,Georgia,https://schoolcalendarinfo.com/gordon-county-schools/,gordon-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Grand Blanc Community Schools 2025-2026 in PDF,,https://schoolcalendarinfo.com/grand-blanc-community-schools/,grand-blanc-community-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-11,2025-08-25,2025-08-25,2026-06-11,2025-2026,2026-03-08
Grand Prairie Independent School District 2025-2026,,https://schoolcalendarinfo.com/grand-prairie-independent-school-district/,grand-prairie-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Granite School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/granite-school-district/,granite-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Green Local Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/green-local-schools/,green-local-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-28,2025-08-21,2025-08-21,2026-05-28,2025-2026,2026-03-08
