leaid,lea_name,state,city,enrollment_2324,website,lea_type,operational_schools
2000023,Rawlins County,KS,Atwood,375,http://www.usd105.org,Regular public school district that is not a component of a supervisory union,2
2500054,Edward M. Kennedy Academy for Health Careers (Horace Mann Ch,MA,Boston,375,http://www.kennedyacademy.org,Independent charter district,1
2600249,George Washington Carver Academy,MI,HIGHLAND PARK,375,http://www.gwcarveracademy.org,Independent charter district,2
3600163,INTERNATIONAL LEADERSHIP CHARTER  HIGH SCHOOL,NY,BRONX,375,http://www.ilchs.org,Independent charter district,1
3901433,The Academy for Urban Scholars,OH,Columbus,375,http://www.ausohio.com,Independent charter district,1
3904835,Sebring Local,OH,Sebring,375,http://www.sebring.k12.oh.us/,Regular public school district that is not a component of a supervisory union,2
0402600,Duncan Unified District (4228),AZ,Duncan,374,,Regular public school district that is not a component of a supervisory union,2
0601509,Altus Schools South Bay District,CA,Chula Vista,374,http://www.sweetwatersecondarycharter.com,Independent charter district,1
0601709,New Vision Middle District,CA,Highland,374,http://www.realjourney.org,Independent charter district,1
1716020,Galatia CUSD 1,IL,Galatia,374,http://http:www.galatiak12.org,Regular public school district that is not a component of a supervisory union,4
1911250,Exira-Elk Horn- Kimballton Comm Sch Dist,IA,Elk Horn,374,http://www.exira-ehk.k12.ia.us,Regular public school district that is not a component of a supervisory union,2
2801140,COFFEEVILLE SCHOOL DIST,MS,Coffeeville,374,http://www.coffeevilleschools.org,Regular public school district that is not a component of a supervisory union,2
2931460,WEAUBLEAU R-III,MO,Weaubleau,374,http://www.weaubleau.k12.mo.us,Regular public school district that is not a component of a supervisory union,2
3177180,SOUTHERN SCHOOL DISTRICT 1,NE,WYMORE,374,,Regular public school district that is not a component of a supervisory union,3
3302910,Epsom School District,NH,Pembroke,374,,Regular public school district that is not a component of a supervisory union,1
3303420,Greenland School District,NH,Greenland,374,,Regular public school district that is not a component of a supervisory union,1
3404080,East Amwell Township School District,NJ,Ringoes,374,http://www.eastamwell.org,Regular public school district that is not a component of a supervisory union,1
3601058,EXPLORE EXCEED CHARTER SCHOOL,NY,BROOKLYN,374,http://www.explorenetwork.org,Independent charter district,1
3623790,PRATTSBURGH CENTRAL SCHOOL DISTRICT,NY,PRATTSBURGH,374,http://www.prattsburghcsd.org,Regular public school district that is not a component of a supervisory union,1
5400062,Eastern Panhandle Preparatory Academy,WV,Kearneysville,374,,Independent charter district,1
0601702,Global Education Academy District,CA,Los Angeles,373,http://www.geaschool.com,Independent charter district,1
0602350,e3 Civic High District,CA,San Diego,373,http://www.e3civichigh.com/,Independent charter district,1
0602461,Animo Venice Charter High District,CA,Venice,373,http://ca.greendot.org/venice,Independent charter district,1
1724900,Martinsville CUSD 3C,IL,Martinsville,373,http://www.martinsville.k12.il.us,Regular public school district that is not a component of a supervisory union,2
1800198,Indiana Agriculture and Technology,IN,Carmel,373,http://NULL,Independent charter district,1
2314812,Baxter Academy for Technology and Science,ME,Portland,373,http://www.baxter-academy.org,Independent charter district,1
2791443,Goodhue County Education District,MN,RED WING,373,http://www.gced.k12.mn.us/,Specialized public school district,14
3022800,Ronan H S,MT,Ronan,373,http://www.ronank12.edu,Regular public school district that is not a component of a supervisory union,1
3609900,EAST QUOGUE UNION FREE SCHOOL DISTRICT,NY,EAST QUOGUE,373,http://www.eastquogue.k12.ny.us,Regular public school district that is not a component of a supervisory union,1
