district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Franklin Township School 2025-2026 in PDF,New Jersey,franklin-township-school,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-26,2024-09-05,2024-09-05,2025-06-26,schoolcalendarinfo.com (current page)
Fremont Unified School District 2025-2026 PDF,California,fremont-unified-school-district,2024-2025,2025-04-18,2025-04-25,2024-12-23,2025-01-03,2025-05-30,2024-08-14,2024-08-14,2025-05-30,schoolcalendarinfo.com (current page)
Frisco Independent School District 2025-2026 PDF,Texas,frisco-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-21,2024-08-12,2024-08-12,2025-05-21,schoolcalendarinfo.com (current page)
Fulton County Schools Holidays 2025-2026 PDF,Georgia,fulton-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-22,2024-08-05,2024-08-05,2025-05-22,schoolcalendarinfo.com (current page)
Gahanna-Jefferson Public Schools 2025-2026 in PDF,Ohio,gahanna-jefferson-public-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-23,2024-08-15,2024-08-15,2025-05-23,schoolcalendarinfo.com (current page)
Gainesville City Schools 2025-2026 in PDF,Georgia,gainesville-city-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-21,2024-08-06,2024-08-06,2025-05-21,schoolcalendarinfo.com (current page)
Garland Independent School District 2025-2026,Texas,garland-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-12,2024-08-12,2025-05-23,schoolcalendarinfo.com (current page)
Gaston County Schools 2025-2026 in PDF,North Carolina,gaston-county-schools,2024-2025,2025-04-18,2025-04-25,2024-12-20,2025-01-03,2025-05-21,2024-08-14,2024-08-14,2025-05-21,schoolcalendarinfo.com (current page)
Glastonbury Public Schools 2025-2026 (Connecticut),Connecticut,glastonbury-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-10,2024-08-28,2024-08-28,2025-06-10,schoolcalendarinfo.com (current page)
Gordon County Schools 2025-2026,Georgia,gordon-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-23,2024-08-06,2024-08-06,2025-05-23,schoolcalendarinfo.com (current page)
Grand Forks Public Schools 2025 in PDF,North Dakota,grand-forks-public-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-01,2025-05-29,2024-08-27,2024-08-27,2025-05-29,schoolcalendarinfo.com (current page)
Greater Clark County Schools 2025-2026 in PDF,Indiana,greater-clark-county-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-05-22,2024-08-01,2024-08-01,2025-05-22,schoolcalendarinfo.com (current page)
Green Local Schools 2025-2026 in PDF,Ohio,green-local-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-05-19,2024-08-14,2024-08-14,2025-05-19,schoolcalendarinfo.com (current page)
Greene County Schools 2025-2026 in PDF,Tennessee,greene-county-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-20,2024-08-06,2024-08-06,2025-05-20,schoolcalendarinfo.com (current page)
