district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Aiken County Public Schools 2025-2026 in PDF,South Carolina,aiken-county-public-schools,2024-2025,2025-03-31,2025-04-11,2024-12-23,2025-01-06,2025-05-29,2024-07-22,2024-07-22,2025-05-29,schoolcalendarinfo.com (current page)
Akron Public Schools 2025-2026 in PDF,Ohio,akron-public-schools,2024-2025,2025-03-18,2025-03-25,2024-12-23,2025-01-03,2025-06-05,2024-08-29,2024-08-29,2025-06-05,schoolcalendarinfo.com (current page)
Alamogordo Public Schools 2025-2026 in PDF,New Mexico,alamogordo-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Albemarle County Public Schools 2025-2026 in PDF,Virginia,albemarle-county-public-schools,2024-2025,,,,,2025-06-09,2024-08-21,2024-08-21,2025-06-09,schoolcalendarinfo.com (current page)
Aldine Independent School District 2025-2026 in PDF,Texas,aldine-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-20,2025-01-07,2025-05-29,2024-08-12,2024-08-12,2025-05-29,schoolcalendarinfo.com (current page)
Alpine School District Holidays 2025-2026 PDF,Utah,alpine-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-23,2024-08-15,2024-08-15,2025-05-23,schoolcalendarinfo.com (current page)
Amphi School District 2025-2026 in PDF | Download,Arizona,amphi-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-03,2025-05-21,2024-08-07,2024-08-07,2025-05-21,schoolcalendarinfo.com (current page)
Anchorage School District 2025-2026,Alaska,anchorage-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-21,2024-08-15,2024-08-15,2025-05-21,schoolcalendarinfo.com (current page)
Andrews Independent School District 2024-2025 in PDF,Texas,andrews-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-07,2025-05-23,2024-08-15,2024-08-15,2025-05-23,schoolcalendarinfo.com (current page)
Ann Arbor Public Schools 2025 in PDF | Download Now,Michigan,ann-arbor-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Anne Arundel County Public Schools 2025-2026 PDF,Maryland,anne-arundel-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-13,2024-08-26,2024-08-26,2025-06-13,schoolcalendarinfo.com (current page)
Arlington Public Schools 2025-2026 in PDF,Virginia,arlington-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-18,2024-08-26,2024-08-26,2025-06-18,schoolcalendarinfo.com (current page)
Asheboro City Schools 2025-2026 in PDF | Download,North Carolina,asheboro-city-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-10,2024-08-26,2024-08-26,2025-06-10,schoolcalendarinfo.com (current page)
Asheville City Schools 2025-2026 in PDF,North Carolina,asheville-city-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-03,2025-06-06,2024-08-26,2024-08-26,2025-06-06,schoolcalendarinfo.com (current page)
Atlanta Public Schools Holidays 2022-2023,,atlanta-public-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-29,2024-08-01,2024-08-01,2025-05-29,schoolcalendarinfo.com (current page)
Auburn City Schools 2024-2025 in PDF,Alabama,auburn-city-schools,2024-2025,2025-03-10,2025-03-14,2024-12-20,2025-01-06,2025-05-22,2024-08-08,2024-08-08,2025-05-22,schoolcalendarinfo.com (current page)
Austin Independent School District Holidays 2025-2026,Texas,austin-independent-school-district,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-29,2024-08-20,2024-08-20,2025-05-29,schoolcalendarinfo.com (current page)
Autauga County Schools 2025-2026 in PDF,Alabama,autauga-county-schools,2024-2025,2025-03-24,2025-03-28,2024-12-19,2025-01-03,2025-05-23,2024-08-07,2024-08-07,2025-05-23,schoolcalendarinfo.com (current page)
Baldwin County Public Schools 2025-2026 in PDF,Alabama,baldwin-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-07,2025-05-22,2024-08-08,2024-08-08,2025-05-22,schoolcalendarinfo.com (current page)
Baltimore County Public Schools 2025-2026,Maryland,baltimore-county-public-schools-calendar-2022-2023,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-11,2024-08-26,2024-08-26,2025-06-11,schoolcalendarinfo.com (current page)
Bellevue School District 2025-2026 in PDF,,bellevue-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-06-18,2024-09-03,2024-09-03,2025-06-18,schoolcalendarinfo.com (current page)
Birmingham City Schools 2025-2026 in PDF,Alabama,birmingham-city-schools,2024-2025,2025-03-24,2025-03-28,2024-12-19,2025-01-03,2025-06-04,2024-08-05,2024-08-05,2025-06-04,schoolcalendarinfo.com (current page)
Bismarck Public Schools Holidays 2025-2026 in PDF,North Dakota,bismarck-public-schools,2024-2025,2025-04-18,2025-04-21,2024-12-23,2025-01-01,2025-05-23,2024-08-21,2024-08-21,2025-05-23,schoolcalendarinfo.com (current page)
Bixby Public Schools 2025-2026 (Oklahoma),Oklahoma,bixby-public-schools,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-22,2024-08-20,2024-08-20,2025-05-22,schoolcalendarinfo.com (current page)
Blue Valley School District 2025-2026 (Kansas),Kansas,blue-valley-school-district,2024-2025,2025-03-14,2025-03-24,2024-12-23,2025-01-03,2025-05-23,2024-08-13,2024-08-13,2025-05-23,schoolcalendarinfo.com (current page)
Boise School District 2025-2026 in PDF,Idaho,boise-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
Boone County Schools 2025-2026 &amp; Holidays PDF,Kentucky,boone-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-22,2024-08-15,2024-08-15,2025-05-22,schoolcalendarinfo.com (current page)
Bossier Parish Schools 2025-2026 in PDF,Louisiana,bossier-parish-schools,2024-2025,2025-03-10,2025-03-14,2024-12-19,2025-01-06,2025-05-20,2024-08-08,2024-08-08,2025-05-20,schoolcalendarinfo.com (current page)
Bridgeport Public Schools 2025-2026 in PDF,Connecticut,bridgeport-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-13,2024-08-29,2024-08-29,2025-06-13,schoolcalendarinfo.com (current page)
Bridgewater-Raritan Regional School District 2025-2026,,bridgewater-raritan-regional-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-19,2024-09-04,2024-09-04,2025-06-19,schoolcalendarinfo.com (current page)
Bristol Tennessee City Schools 2025-2026 in PDF,Tennessee,bristol-tennessee-city-schools,2024-2025,2025-03-10,2025-03-17,2024-12-23,2025-01-06,2025-05-23,2024-08-06,2024-08-06,2025-05-23,schoolcalendarinfo.com (current page)
Broken Arrow Public Schools 2025-2026 in PDF,Oklahoma,broken-arrow-public-schools,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Broward County Public Schools Holidays 2025-2026,,broward-county-public-schools,2024-2025,2025-03-21,2025-03-31,2024-12-23,2025-01-06,2025-06-03,2024-08-12,2024-08-12,2025-06-03,schoolcalendarinfo.com (current page)
Bryan County Schools 2025-2026 | Academic,Georgia,bryan-county-schools,2024-2025,2025-03-31,2025-04-04,2024-12-18,2025-01-03,2025-05-22,2024-08-01,2024-08-01,2025-05-22,schoolcalendarinfo.com (current page)
Buford City Schools 2025-2026 in PDF | Academic,Georgia,buford-city-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-07,2025-05-22,2024-08-02,2024-08-02,2025-05-22,schoolcalendarinfo.com (current page)
Bulloch County Schools 2025-2026 with Holidays,Georgia,bulloch-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-23,2024-08-01,2024-08-01,2025-05-23,schoolcalendarinfo.com (current page)
Butts County Schools 2025-2026 in PDF | Download Now,Georgia,butts-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-10,2025-01-06,2025-05-23,2024-08-01,2024-08-01,2025-05-23,schoolcalendarinfo.com (current page)
CCISD 2025-2026 (Clear Creek Independent School District),Texas,ccisd-calendar,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
CMS Schools 2022-2023 | Charlotte-Mecklenburg Schools,Texas,charlotte-mecklenburg-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-10,2024-08-26,2024-08-26,2025-06-10,schoolcalendarinfo.com (current page)
Cabarrus County Schools 2025-2026 in PDF,North Carolina,cabarrus-county-schools,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-03,2025-05-21,2024-08-13,2024-08-13,2025-05-21,schoolcalendarinfo.com (current page)
Cabell County Schools 2025-2026 in PDF | Holiday Dates,Virginia,cabell-county-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Caddo Parish Public Schools Holidays 2025-2026 PDF,Louisiana,caddo-parish-public-schools,2024-2025,,2025-03-14,2024-12-20,2025-01-06,2025-05-15,2024-08-08,2024-08-08,2025-05-15,schoolcalendarinfo.com (current page)
Caldwell County Schools 2025-2026 in PDF | Holiday,North Carolina,caldwell-county-schools,2024-2025,2025-04-21,2025-04-25,2024-12-23,2025-01-03,2025-06-04,2024-08-26,2024-08-26,2025-06-04,schoolcalendarinfo.com (current page)
Calvert County Public Schools 2025-2026 in PDF,Maryland,calvert-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-01,2025-06-11,2024-08-27,2024-08-27,2025-06-11,schoolcalendarinfo.com (current page)
Camas School District 2025-2026 (Washington),Washington,camas-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-06-18,2024-09-03,2024-09-03,2025-06-18,schoolcalendarinfo.com (current page)
Cambridge Public Schools 2025-2026 in PDF,Massachusetts,cambridge-public-schools,2024-2025,2025-04-18,2025-04-25,2024-12-23,2025-01-02,2025-06-24,2024-09-03,2024-09-03,2025-06-24,schoolcalendarinfo.com (current page)
Camden County Schools 2025-2026 in PDF,Georgia,camden-county-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-06,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Capistrano Unified School District 2025-2026 in PDF,California,capistrano-unified-school-district-calendar-2023-2024-in-pdf,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-06-05,2024-08-20,2024-08-20,2025-06-05,schoolcalendarinfo.com (current page)
Carroll County Public Schools 2025-2026 in PDF,Maryland,carroll-county-public-schools,2024-2025,2025-04-17,2025-04-22,2024-12-23,2025-01-01,2025-06-13,2024-09-03,2024-09-03,2025-06-13,schoolcalendarinfo.com (current page)
Carrollton City Schools 2025-2026 in PDF | Download,Georgia,carrollton-city-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-21,2024-08-12,2024-08-12,2025-05-21,schoolcalendarinfo.com (current page)
Carrollton-Farmers Branch ISD 2025-2026 in PDF,Texas,carrollton-farmers-branch-isd,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-22,2024-08-12,2024-08-12,2025-05-22,schoolcalendarinfo.com (current page)
Carteret County Schools 2025 in PDF,North Carolina,carteret-county-schools,2024-2025,2025-04-21,2025-04-25,2024-12-23,2025-01-03,2025-06-05,2024-08-26,2024-08-26,2025-06-05,schoolcalendarinfo.com (current page)
Catawba County Schools 2025-2026 in PDF | Holidays,North Carolina,catawba-county-schools,2024-2025,2025-04-18,2025-04-25,2024-12-23,2025-01-03,2025-05-23,2024-08-26,2024-08-26,2025-05-23,schoolcalendarinfo.com (current page)
Cecil County Public Schools 2025-2026 in PDF,Maryland,cecil-county-public-schools,2024-2025,2025-04-18,2025-04-21,2024-12-23,2025-01-03,2025-06-13,2024-09-03,2024-09-03,2025-06-13,schoolcalendarinfo.com (current page)
Cedar Falls Schools 2025-2026 in PDF | Download Now,Iowa,cedar-falls-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-02,2025-05-30,2024-08-23,2024-08-23,2025-05-30,schoolcalendarinfo.com (current page)
Centerville City Schools 2025-2026 (Ohio),Ohio,centerville-city-schools,2024-2025,2025-03-21,2025-03-28,2024-12-23,2025-01-03,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Central Bucks School District 2025-2026 in PDF,Pennsylvania,central-bucks-school-district,2024-2025,2025-04-17,2025-04-21,2024-12-23,2025-01-01,2025-06-13,2024-09-03,2024-09-03,2025-06-13,schoolcalendarinfo.com (current page)
Central Kitsap School District 2025-2026 in PDF,Washington,central-kitsap-school-district,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-06-17,2024-09-04,2024-09-04,2025-06-17,schoolcalendarinfo.com (current page)
Chandler Unified School District 80 2025-2026,Arizona,chandler-unified-school-district-80,2024-2025,2025-03-10,2025-03-24,2024-12-20,2025-01-06,2025-05-22,2024-07-17,2024-07-17,2025-05-22,schoolcalendarinfo.com (current page)
Chapel Hill Carrboro City Schools 2025 in PDF,North Carolina,chapel-hill-carrboro-city-schools,2024-2025,2025-03-28,2025-04-04,2024-12-23,2025-01-03,2025-06-12,2024-08-26,2024-08-26,2025-06-12,schoolcalendarinfo.com (current page)
Charleston County School District 2025-2026 in PDF,South Carolina,charleston-county-school-district,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-05-29,2024-08-13,2024-08-13,2025-05-29,schoolcalendarinfo.com (current page)
Cheatham County Schools 2025 in PDF | Download Now,Tennessee,cheatham-county-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-20,2024-08-07,2024-08-07,2025-05-20,schoolcalendarinfo.com (current page)
Cherokee County School District 2025-2026 in PDF,,cherokee-county-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-23,2024-08-01,2024-08-01,2025-05-23,schoolcalendarinfo.com (current page)
Cherry Creek School District 2025-2026 in PDF,Colorado,cherry-creek-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-12,2024-08-12,2025-05-23,schoolcalendarinfo.com (current page)
Cherry Hill Public Schools 2025-2026 in PDF,New Jersey,cherry-hill-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-19,2024-09-03,2024-09-03,2025-06-19,schoolcalendarinfo.com (current page)
